frame,motion,entropy
1,0.001930,0.647807
2,0.001930,0.674052
3,0.000823,0.646012
4,0.001797,0.675129
5,0.000568,0.675300
6,0.001056,0.659928
7,0.002676,0.683509
8,0.001179,0.551144
9,0.001999,0.688970
10,0.000259,0.691379
11,0.000195,0.665992
12,0.000808,0.689126
13,0.000491,0.687949
14,0.000494,0.688511
15,0.000225,0.690515
16,0.000281,0.690796
17,0.000945,0.690426
18,0.000570,0.691595
19,0.000595,0.689477
20,0.000281,0.692223
21,0.000211,0.690130
22,0.001203,0.688760
23,0.000618,0.692455
24,0.000646,0.688021
25,0.000391,0.674348
26,0.000345,0.682761
27,0.001527,0.688783
28,0.000664,0.690849
29,0.000701,0.683893
30,0.000480,0.673616
31,0.000265,0.687922
32,0.001648,0.679120
33,0.000773,0.692492
34,0.000718,0.691957
35,0.000540,0.672070
36,0.001010,0.687751
37,0.000720,0.692013
38,0.000754,0.692291
39,0.000785,0.691811
40,0.000517,0.687101
41,0.001151,0.685062
42,0.000712,0.691689
43,0.000721,0.692048
44,0.000690,0.692125
45,0.000607,0.677566
46,0.001162,0.678359
47,0.000731,0.691306
48,0.000749,0.692298
49,0.000676,0.692696
50,0.000612,0.682635
51,0.001199,0.681250
52,0.000676,0.690502
53,0.000660,0.692908
54,0.000647,0.692280
55,0.000593,0.689310
56,0.001845,0.686666
57,0.000395,0.674387
58,0.000692,0.692495
59,0.000691,0.691293
60,0.000241,0.686871
61,0.001475,0.691808
62,0.000689,0.687952
63,0.000663,0.692293
64,0.000659,0.692241
65,0.000315,0.688489
66,0.001214,0.692383
67,0.000603,0.687501
68,0.000636,0.692763
69,0.000709,0.692612
70,0.000318,0.690127
71,0.001462,0.692490
72,0.000699,0.682658
73,0.000733,0.691522
74,0.000805,0.692668
75,0.000401,0.690371
76,0.001213,0.691826
77,0.000660,0.689177
78,0.000720,0.688199
79,0.000591,0.692644
80,0.000562,0.690728
81,0.000958,0.691530
82,0.000860,0.681942
83,0.000718,0.685557
84,0.000586,0.692731
85,0.000555,0.691693
86,0.000896,0.691230
87,0.000796,0.685994
88,0.000705,0.686253
89,0.000587,0.692949
90,0.000547,0.691390
91,0.001231,0.691368
92,0.000711,0.685781
93,0.000728,0.685661
94,0.000604,0.692528
95,0.000534,0.689142
96,0.000985,0.691791
97,0.000769,0.692077
98,0.000749,0.627898
99,0.000506,0.652213
100,0.000417,0.691619
101,0.000962,0.690739
102,0.000623,0.683341
103,0.000710,0.692222
104,0.000467,0.691659
105,0.000304,0.691954
106,0.001206,0.689895
107,0.000524,0.689005
108,0.000650,0.689609
109,0.000408,0.689793
110,0.000494,0.692093
111,0.000887,0.688623
112,0.000645,0.688179
113,0.000653,0.692125
114,0.000506,0.687240
115,0.000345,0.691187
116,0.001286,0.689231
117,0.000745,0.678304
118,0.000624,0.692925
119,0.000502,0.670694
120,0.000620,0.662067
121,0.000738,0.692650
122,0.000606,0.692722
123,0.000621,0.681504
124,0.000515,0.675578
125,0.000863,0.683121
126,0.000735,0.691748
127,0.000625,0.692167
128,0.000619,0.692076
129,0.000595,0.674924
130,0.001023,0.677974
131,0.000860,0.690908
132,0.000727,0.692125
133,0.000769,0.691589
134,0.000602,0.670921
135,0.001008,0.668838
136,0.000861,0.691256
137,0.000701,0.692277
138,0.000708,0.690941
139,0.000602,0.691064
140,0.001661,0.686982
141,0.000314,0.668597
142,0.000864,0.690173
143,0.000682,0.692276
144,0.000461,0.678936
145,0.000959,0.677544
146,0.000328,0.692554
147,0.000272,0.692773
148,0.000405,0.688266
149,0.000217,0.675812
150,0.000130,0.693147
