frame,motion,entropy
1,0.001930,1.066663
2,0.001930,1.076379
3,0.000823,1.063784
4,0.001797,1.051404
5,0.000568,1.083966
6,0.001056,1.069225
7,0.002676,1.078785
8,0.001179,1.009209
9,0.001999,1.011776
10,0.000259,1.095487
11,0.000195,1.081700
12,0.000808,1.086290
13,0.000491,1.093975
14,0.000494,1.093338
15,0.000225,1.094771
16,0.000281,1.096369
17,0.000945,1.095834
18,0.000570,1.096549
19,0.000595,1.096127
20,0.000281,1.096240
21,0.000211,1.096639
22,0.001203,1.094645
23,0.000618,1.096395
24,0.000646,1.095325
25,0.000391,1.085739
26,0.000345,1.083968
27,0.001527,1.089003
28,0.000664,1.095831
29,0.000701,1.092432
30,0.000480,1.081871
31,0.000265,1.086989
32,0.001648,1.089168
33,0.000773,1.089087
34,0.000718,1.097717
35,0.000540,1.084871
36,0.001010,1.082863
37,0.000720,1.095024
38,0.000754,1.097589
39,0.000785,1.097561
40,0.000517,1.094769
41,0.001151,1.091699
42,0.000712,1.093066
43,0.000721,1.097542
44,0.000690,1.097721
45,0.000607,1.088977
46,0.001162,1.082280
47,0.000731,1.087727
48,0.000749,1.097604
49,0.000676,1.097937
50,0.000612,1.091808
51,0.001199,1.085572
52,0.000676,1.090066
53,0.000660,1.097017
54,0.000647,1.098006
55,0.000593,1.096218
56,0.001845,1.093892
57,0.000395,1.083848
58,0.000692,1.088495
59,0.000691,1.097406
60,0.000241,1.094149
61,0.001475,1.095215
62,0.000689,1.094933
63,0.000663,1.095639
64,0.000659,1.097762
65,0.000315,1.095597
66,0.001214,1.095979
67,0.000603,1.094913
68,0.000636,1.095166
69,0.000709,1.098217
70,0.000318,1.096652
71,0.001462,1.096805
72,0.000699,1.091585
73,0.000733,1.091813
74,0.000805,1.097214
75,0.000401,1.096956
76,0.001213,1.096301
77,0.000660,1.095891
78,0.000720,1.093634
79,0.000591,1.095917
80,0.000562,1.097045
81,0.000958,1.096658
82,0.000860,1.091440
83,0.000718,1.087898
84,0.000586,1.094648
85,0.000555,1.097644
86,0.000896,1.097269
87,0.000796,1.094067
88,0.000705,1.090412
89,0.000587,1.095274
90,0.000547,1.097465
91,0.001231,1.097294
92,0.000711,1.094097
93,0.000728,1.090336
94,0.000604,1.094503
95,0.000534,1.096210
96,0.000985,1.095988
97,0.000769,1.097565
98,0.000749,1.057635
99,0.000506,1.028142
100,0.000417,1.074112
101,0.000962,1.096991
102,0.000623,1.091203
103,0.000710,1.091457
104,0.000467,1.097360
105,0.000304,1.097466
106,0.001206,1.096517
107,0.000524,1.094668
108,0.000650,1.095782
109,0.000408,1.095184
110,0.000494,1.096262
111,0.000887,1.095796
112,0.000645,1.093164
113,0.000653,1.095720
114,0.000506,1.094636
115,0.000345,1.094866
116,0.001286,1.096027
117,0.000745,1.088802
118,0.000624,1.086689
119,0.000502,1.083852
120,0.000620,1.064155
121,0.000738,1.083480
122,0.000606,1.098050
123,0.000621,1.091468
124,0.000515,1.082979
125,0.000863,1.082157
126,0.000735,1.093195
127,0.000625,1.097326
128,0.000619,1.097694
129,0.000595,1.087791
130,0.001023,1.081576
131,0.000860,1.091097
132,0.000727,1.097143
133,0.000769,1.097357
134,0.000602,1.085921
135,0.001008,1.074563
136,0.000861,1.085604
137,0.000701,1.097502
138,0.000708,1.097274
139,0.000602,1.096629
140,0.001661,1.094703
141,0.000314,1.081636
142,0.000864,1.084811
143,0.000682,1.095660
144,0.000461,1.090393
145,0.000959,1.084608
146,0.000328,1.089567
147,0.000272,1.098109
148,0.000405,1.095513
149,0.000217,1.086391
150,0.000130,1.085268
