t,psnr
1,13.398
2,13.322
3,13.321
4,13.302
5,13.26
6,13.382
7,13.308
8,13.259
9,13.24
10,13.191
11,13.235
12,13.261
13,13.228
14,13.168
15,13.228
16,13.162
17,13.284
18,13.227
19,13.281
20,13.27
21,13.285
22,13.248
23,13.138
24,13.221
25,13.23
26,13.198
27,13.238
28,13.024
29,13.061
30,13.121
31,13.079
32,13.173
33,13.061
34,13.091
35,13.132
36,13.045
37,13.151
38,13.078
39,13.001
40,13.014
41,13.026
42,13.049
43,13.136
44,13.082
45,13.161
46,13.17
47,13.139
48,13.12
49,13.097
50,13.141
51,13.182
52,13.141
53,13.162
54,13.171
55,13.233
56,13.217
57,13.251
58,13.123
59,13.131
60,13.139
61,13.181
62,13.16
63,13.157
64,13.153
65,13.154
66,13.191
67,13.209
68,13.175
69,13.079
70,13.172
71,13.193
72,13.165
73,13.184
74,13.19
75,13.23
76,13.115
77,13.134
78,13.174
79,13.241
80,13.277
81,13.255
82,13.191
83,13.265
84,13.292
85,13.254
86,13.34
87,13.265
88,13.281
89,13.305
90,13.302
91,13.284
92,13.298
93,13.287
94,13.262
95,13.208
96,13.304
97,13.238
98,13.231
99,13.328
100,13.304
101,13.294
102,13.312
103,13.352
104,13.336
105,13.342
106,13.297
107,13.317
108,13.406
109,13.396
110,13.345
111,13.446
112,13.4
113,13.475
114,13.451
115,13.463
116,13.427
117,13.399
118,13.45
119,13.462
120,13.497
121,13.455
122,13.445
123,13.454
124,13.446
125,13.475
126,13.377
127,13.457
128,13.428
129,13.445
130,13.445
131,13.456
132,13.472
133,13.461
134,13.477
135,13.489
136,13.44
137,13.434
138,13.478
139,13.495
140,13.445
141,13.462
142,13.488
143,13.489
144,13.514
145,13.493
146,13.518
147,13.46
148,13.482
149,13.496
150,13.475
