t,psnr
1,18.522
2,18.49
3,18.309
4,18.297
5,18.306
6,18.461
7,18.271
8,18.252
9,18.258
10,18.338
11,18.287
12,18.159
13,18.055
14,17.689
15,18.048
16,17.711
17,18.1
18,18.146
19,18.015
20,18.069
21,18.045
22,17.845
23,17.875
24,17.845
25,17.882
26,17.897
27,17.833
28,17.561
29,17.523
30,17.576
31,17.5
32,17.413
33,17.433
34,17.507
35,17.554
36,17.336
37,17.461
38,17.622
39,17.553
40,17.347
41,17.349
42,17.415
43,17.558
44,17.557
45,17.44
46,17.404
47,17.375
48,17.421
49,17.374
50,17.321
51,17.355
52,17.313
53,17.377
54,17.357
55,17.399
56,17.273
57,17.235
58,17.231
59,17.272
60,17.312
61,17.246
62,17.184
63,17.223
64,17.138
65,17.333
66,17.273
67,17.228
68,17.199
69,17.142
70,17.216
71,17.177
72,17.098
73,17.207
74,17.109
75,17.071
76,17.065
77,17.056
78,17.151
79,17.143
80,17.2
81,17.115
82,17.167
83,17.09
84,17.2
85,17.191
86,17.127
87,17.162
88,17.205
89,17.137
90,17.195
91,17.11
92,17.103
93,17.088
94,17.223
95,17.11
96,17.122
97,17.075
98,17.129
99,17.143
100,17.078
101,17.08
102,17.083
103,17.054
104,17.112
105,17.115
106,17.005
107,17.039
108,17.165
109,17.042
110,16.994
111,17.092
112,16.988
113,17.139
114,17.068
115,17.12
116,17.03
117,17.005
118,17.016
119,17.09
120,16.968
121,16.992
122,17.034
123,17.069
124,16.989
125,17.03
126,17.018
127,17.069
128,17.01
129,17.076
130,17.051
131,16.982
132,17.006
133,17.031
134,16.973
135,17.035
136,17.017
137,17.032
138,17.022
139,17.077
140,17.093
141,17.062
142,17.128
143,17.09
144,17.07
145,17.129
146,17.211
147,17.111
148,17.148
149,17.143
150,17.118
