t,psnr
1,13.398
2,13.322
3,13.321
4,13.302
5,13.26
6,13.382
7,13.308
8,13.259
9,13.24
10,13.191
11,13.235
12,13.261
13,13.228
14,13.168
15,13.228
16,13.161
17,13.284
18,13.227
19,13.281
20,13.27
21,13.285
22,13.248
23,13.138
24,13.221
25,13.23
26,13.198
27,13.238
28,13.024
29,13.061
30,13.121
31,13.079
32,13.173
33,13.061
34,13.091
35,13.132
36,13.045
37,13.151
38,13.078
39,13.001
40,13.014
41,13.026
42,13.049
43,13.136
44,13.082
45,13.161
46,13.17
47,13.139
48,13.12
49,13.096
50,13.141
51,13.182
52,13.141
53,13.162
54,13.171
55,13.233
56,13.217
57,13.252
58,13.123
59,13.132
60,13.14
61,13.181
62,13.16
63,13.157
64,13.153
65,13.155
66,13.191
67,13.209
68,13.175
69,13.079
70,13.172
71,13.193
72,13.166
73,13.184
74,13.19
75,13.23
76,13.115
77,13.134
78,13.174
79,13.241
80,13.277
81,13.256
82,13.192
83,13.266
84,13.293
85,13.255
86,13.34
87,13.266
88,13.282
89,13.306
90,13.303
91,13.285
92,13.299
93,13.288
94,13.263
95,13.21
96,13.306
97,13.24
98,13.234
99,13.33
100,13.307
101,13.297
102,13.316
103,13.356
104,13.341
105,13.347
106,13.302
107,13.322
108,13.411
109,13.401
110,13.35
111,13.449
112,13.403
113,13.478
114,13.454
115,13.465
116,13.43
117,13.401
118,13.452
119,13.465
120,13.499
121,13.458
122,13.448
123,13.457
124,13.449
125,13.478
126,13.379
127,13.459
128,13.43
129,13.447
130,13.447
131,13.458
132,13.474
133,13.463
134,13.48
135,13.492
136,13.443
137,13.437
138,13.481
139,13.498
140,13.448
141,13.465
142,13.491
143,13.492
144,13.517
145,13.496
146,13.52
147,13.462
148,13.484
149,13.497
150,13.476
