t,psnr
1,14.939
2,14.927
3,14.922
4,14.924
5,14.925
6,14.919
7,14.918
8,14.911
9,14.906
10,14.903
11,14.899
12,14.882
13,14.866
14,14.854
15,14.851
16,14.846
17,14.806
18,14.784
19,14.759
20,14.754
21,14.748
22,14.701
23,14.684
24,14.661
25,14.657
26,14.653
27,14.595
28,14.575
29,14.553
30,14.541
31,14.536
32,14.472
33,14.452
34,14.432
35,14.414
36,14.395
37,14.378
38,14.361
39,14.345
40,14.336
41,14.318
42,14.305
43,14.292
44,14.277
45,14.266
46,14.253
47,14.239
48,14.227
49,14.219
50,14.214
51,14.205
52,14.197
53,14.191
54,14.184
55,14.182
56,14.172
57,14.171
58,14.163
59,14.159
60,14.16
61,14.155
62,14.156
63,14.151
64,14.151
65,14.158
66,14.156
67,14.159
68,14.162
69,14.169
70,14.176
71,14.182
72,14.185
73,14.187
74,14.197
75,14.207
76,14.202
77,14.202
78,14.208
79,14.208
80,14.212
81,14.21
82,14.208
83,14.211
84,14.215
85,14.218
86,14.214
87,14.214
88,14.217
89,14.219
90,14.224
91,14.206
92,14.206
93,14.204
94,14.201
95,14.198
96,14.184
97,14.178
98,14.17
99,14.169
100,14.166
101,14.146
102,14.134
103,14.124
104,14.121
105,14.117
106,14.102
107,14.098
108,14.096
109,14.1
110,14.101
111,14.098
112,14.097
113,14.093
114,14.093
115,14.086
116,14.048
117,14.05
118,14.063
119,14.062
120,14.058
121,14.046
122,14.035
123,14.021
124,14.012
125,14.007
126,13.973
127,13.964
128,13.965
129,13.973
130,13.961
131,13.948
132,13.941
133,13.931
134,13.928
135,13.918
136,13.907
137,13.9
138,13.891
139,13.888
140,13.854
141,13.862
142,13.846
143,13.835
144,13.832
145,13.807
146,13.811
147,13.812
148,13.807
149,13.814
150,13.82
