t,psnr
1,13.783
2,13.706
3,13.7
4,13.723
5,13.637
6,13.785
7,13.685
8,13.631
9,13.606
10,13.659
11,13.709
12,13.722
13,13.685
14,13.55
15,13.684
16,13.542
17,13.756
18,13.681
19,13.733
20,13.719
21,13.718
22,13.676
23,13.571
24,13.65
25,13.675
26,13.642
27,13.654
28,13.389
29,13.418
30,13.49
31,13.426
32,13.538
33,13.428
34,13.461
35,13.502
36,13.409
37,13.518
38,13.423
39,13.339
40,13.344
41,13.36
42,13.394
43,13.494
44,13.418
45,13.51
46,13.504
47,13.465
48,13.444
49,13.431
50,13.495
51,13.532
52,13.492
53,13.507
54,13.522
55,13.595
56,13.568
57,13.6
58,13.477
59,13.469
60,13.489
61,13.529
62,13.521
63,13.506
64,13.504
65,13.497
66,13.545
67,13.565
68,13.527
69,13.453
70,13.559
71,13.586
72,13.559
73,13.559
74,13.566
75,13.628
76,13.485
77,13.494
78,13.545
79,13.615
80,13.676
81,13.655
82,13.58
83,13.643
84,13.692
85,13.652
86,13.753
87,13.674
88,13.686
89,13.724
90,13.721
91,13.669
92,13.707
93,13.651
94,13.666
95,13.597
96,13.694
97,13.614
98,13.622
99,13.722
100,13.679
101,13.68
102,13.715
103,13.756
104,13.713
105,13.721
106,13.684
107,13.692
108,13.788
109,13.791
110,13.723
111,13.832
112,13.768
113,13.842
114,13.822
115,13.84
116,13.78
117,13.762
118,13.823
119,13.814
120,13.847
121,13.79
122,13.812
123,13.815
124,13.804
125,13.824
126,13.749
127,13.843
128,13.807
129,13.809
130,13.816
131,13.821
132,13.824
133,13.816
134,13.853
135,13.843
136,13.826
137,13.798
138,13.823
139,13.813
140,13.776
141,13.785
142,13.817
143,13.826
144,13.848
145,13.812
146,13.851
147,13.791
148,13.8
149,13.837
150,13.805
