t,psnr
1,13.561
2,13.494
3,13.469
4,13.449
5,13.427
6,13.532
7,13.45
8,13.405
9,13.389
10,13.356
11,13.386
12,13.392
13,13.361
14,13.304
15,13.361
16,13.295
17,13.407
18,13.373
19,13.427
20,13.408
21,13.422
22,13.386
23,13.28
24,13.361
25,13.374
26,13.331
27,13.375
28,13.173
29,13.201
30,13.26
31,13.22
32,13.29
33,13.198
34,13.223
35,13.268
36,13.18
37,13.281
38,13.224
39,13.143
40,13.153
41,13.166
42,13.19
43,13.268
44,13.23
45,13.282
46,13.287
47,13.268
48,13.254
49,13.23
50,13.26
51,13.296
52,13.257
53,13.276
54,13.289
55,13.336
56,13.314
57,13.342
58,13.237
59,13.252
60,13.257
61,13.288
62,13.269
63,13.275
64,13.262
65,13.269
66,13.31
67,13.306
68,13.284
69,13.21
70,13.285
71,13.292
72,13.253
73,13.272
74,13.277
75,13.296
76,13.199
77,13.216
78,13.256
79,13.292
80,13.329
81,13.292
82,13.239
83,13.287
84,13.315
85,13.289
86,13.341
87,13.291
88,13.309
89,13.311
90,13.307
91,13.296
92,13.285
93,13.255
94,13.262
95,13.23
96,13.27
97,13.213
98,13.201
99,13.246
100,13.233
101,13.219
102,13.221
103,13.234
104,13.22
105,13.219
106,13.181
107,13.197
108,13.281
109,13.267
110,13.242
111,13.321
112,13.323
113,13.385
114,13.356
115,13.375
116,13.351
117,13.299
118,13.326
119,13.358
120,13.354
121,13.346
122,13.331
123,13.323
124,13.302
125,13.308
126,13.224
127,13.251
128,13.27
129,13.272
130,13.304
131,13.274
132,13.293
133,13.316
134,13.31
135,13.292
136,13.265
137,13.275
138,13.298
139,13.316
140,13.278
141,13.273
142,13.29
143,13.291
144,13.313
145,13.308
146,13.334
147,13.294
148,13.327
149,13.348
150,13.32
