t,alpha,ssim,l2,lpips
1,0.0333,0.873115284997688,0.034647610038518906,nan
2,0.0667,0.8686260534272255,0.034853607416152954,nan
3,0.1,0.8750149709350487,0.035090770572423935,nan
4,0.1333,0.8737945762373677,0.03569287806749344,nan
5,0.1667,0.8720266102115927,0.036622125655412674,nan
6,0.2,0.8703660574748572,0.03756515309214592,nan
7,0.2333,0.8695613911160692,0.03854694217443466,nan
8,0.2667,0.8686586354692981,0.039378635585308075,nan
9,0.3,0.8678895760965718,0.040142424404621124,nan
10,0.3333,0.8676218399279573,0.04081287980079651,nan
11,0.3667,0.8677016562992121,0.041217390447854996,nan
12,0.4,0.868080632879851,0.04142442345619202,nan
13,0.4333,0.8686306579687083,0.041680190712213516,nan
14,0.4667,0.8691508185780306,0.041729215532541275,nan
15,0.5,0.869569571951017,0.04188463091850281,nan
16,0.5333,0.8699344023361317,0.04217478260397911,nan
17,0.5667,0.8702065942167172,0.04246484860777855,nan
18,0.6,0.8706361005550428,0.04276799038052559,nan
19,0.6333,0.8714547237549293,0.04299554601311684,nan
20,0.6667,0.8736071086463637,0.04325399920344353,nan
21,0.7,0.8750214184701043,0.043399255722761154,nan
22,0.7333,0.8763243453899258,0.043457094579935074,nan
23,0.7667,0.8770039495795018,0.0434587262570858,nan
24,0.8,0.8763010245412609,0.043609824031591415,nan
25,0.8333,0.8762108549483562,0.04384352266788483,nan
26,0.8667,0.8761160811910856,0.04395018890500069,nan
27,0.9,0.8758518563527123,0.044236961752176285,nan
28,0.9333,0.8757191377119881,0.044509440660476685,nan
29,0.9667,0.8747554122047241,0.045010197907686234,nan
30,1.0,0.8759581224389471,0.04527398571372032,nan
