t,alpha,ssim,l2,lpips
1,0.0333,0.8464178603728415,0.03336417302489281,nan
2,0.0667,0.8522006424759704,0.038436923176050186,nan
3,0.1,0.848652943813564,0.03651244565844536,nan
4,0.1333,0.8548661797996028,0.03467431291937828,nan
5,0.1667,0.8553515439518166,0.03839816525578499,nan
6,0.2,0.8627231293567847,0.027890725061297417,nan
7,0.2333,0.8553415808953656,0.03446837514638901,nan
8,0.2667,0.8538200618743139,0.034141846001148224,nan
9,0.3,0.8564127063860703,0.03699458763003349,nan
10,0.3333,0.8656756039313267,0.03023025579750538,nan
11,0.3667,0.8597249661832499,0.0366368405520916,nan
12,0.4,0.8617400429647167,0.034707922488451004,nan
13,0.4333,0.8591721649250545,0.045453134924173355,nan
14,0.4667,0.8557700805248841,0.042358022183179855,nan
15,0.5,0.8598843028006827,0.03495045751333237,nan
16,0.5333,0.8630532912414522,0.03438916429877281,nan
17,0.5667,0.8606943919657565,0.039856549352407455,nan
18,0.6,0.8605723158706465,0.03701242431998253,nan
19,0.6333,0.8562123173455914,0.03695762902498245,nan
20,0.6667,0.8676189029873284,0.026213228702545166,nan
21,0.7,0.8614240058809214,0.027697503566741943,nan
22,0.7333,0.8640852118824981,0.029186978936195374,nan
23,0.7667,0.869061149438367,0.02816935069859028,nan
24,0.8,0.8738353982297574,0.027944060042500496,nan
25,0.8333,0.8696477185677045,0.03360862657427788,nan
26,0.8667,0.8714636778518612,0.030534127727150917,nan
27,0.9,0.8696938899972121,0.030759297311306,nan
28,0.9333,0.8726108209004035,0.029610514640808105,nan
29,0.9667,0.8694883183689667,0.02893538773059845,nan
30,1.0,0.8749890809869497,0.027881542220711708,nan
