t,alpha,ssim,l2,lpips
1,0.0333,0.8628422026193969,0.028923818841576576,nan
2,0.0667,0.8667743126799191,0.030122919008135796,nan
3,0.1,0.8650867630079538,0.03044065833091736,nan
4,0.1333,0.8697472666438691,0.027482107281684875,nan
5,0.1667,0.8707643038660651,0.02920595370233059,nan
6,0.2,0.8805615410587192,0.022464489564299583,nan
7,0.2333,0.8706323886502884,0.027797937393188477,nan
8,0.2667,0.8672329330807421,0.028802452608942986,nan
9,0.3,0.8670431909938342,0.03176450356841087,nan
10,0.3333,0.8795319759973063,0.02623065561056137,nan
11,0.3667,0.8672291559019111,0.03218119218945503,nan
12,0.4,0.8702432966270517,0.03159274533390999,nan
13,0.4333,0.8637269284675467,0.0418037585914135,nan
14,0.4667,0.859797448976142,0.0395159013569355,nan
15,0.5,0.8637157125513769,0.03330262377858162,nan
16,0.5333,0.8653195227995415,0.03356611728668213,nan
17,0.5667,0.8615965520089945,0.03980427607893944,nan
18,0.6,0.861120092284836,0.03724658116698265,nan
19,0.6333,0.8558263026145941,0.037263717502355576,nan
20,0.6667,0.8664221892077019,0.026336804032325745,nan
21,0.7,0.859382575156317,0.027918152511119843,nan
22,0.7333,0.8620063471405581,0.02955302782356739,nan
23,0.7667,0.8662226052982197,0.0287938192486763,nan
24,0.8,0.8713250078977364,0.0287183728069067,nan
25,0.8333,0.867101030854671,0.03432365879416466,nan
26,0.8667,0.8693435734107293,0.0311767365783453,nan
27,0.9,0.867589666666531,0.03145311027765274,nan
28,0.9333,0.8707531707312426,0.03028748743236065,nan
29,0.9667,0.8676272039592025,0.029365690425038338,nan
30,1.0,0.8734687280618146,0.028223784640431404,nan
