t,alpha,ssim_interp,l2_interp,ssim_direct,l2_direct
1,0.0333,0.8757341993792611,0.06669347733259201,0.8757253828570196,0.06670478731393814
2,0.0667,0.8819969828474905,0.06133740022778511,0.8820036521766633,0.0612933523952961
3,0.1,0.8825931953015376,0.06200418248772621,0.8826145218689251,0.061971548944711685
4,0.1333,0.8818096847387767,0.06165987625718117,0.8818733441987123,0.06159590557217598
5,0.1667,0.8833344699104483,0.059140052646398544,0.883329116904139,0.05911074951291084
6,0.2,0.892587066260521,0.05291183665394783,0.8925448938453594,0.0528859905898571
7,0.2333,0.8837772988066693,0.05409517511725426,0.8837375982706647,0.054037634283304214
8,0.2667,0.8870497389641083,0.056892525404691696,0.8870168000196461,0.05678088590502739
9,0.3,0.8920973663230667,0.05476568639278412,0.8921844151203239,0.05462399497628212
10,0.3333,0.8935051582765667,0.05481820926070213,0.8938429942281324,0.054590854793787
11,0.3667,0.8892658253063969,0.05307566002011299,0.889871693870707,0.05260858312249184
12,0.4,0.8903759910338174,0.05316685512661934,0.8912357302265509,0.05277741327881813
13,0.4333,0.8872728676311441,0.054657358676195145,0.8879582454251788,0.054098039865493774
14,0.4667,0.887354268677726,0.0549829863011837,0.8883137494521337,0.05414261296391487
15,0.5,0.8866825011017494,0.05868954956531525,0.8881422372378838,0.05761314928531647
16,0.5333,0.8840620760625543,0.05725305899977684,0.8855675471758594,0.05601614713668823
17,0.5667,0.8876164335762112,0.054571732878685,0.8897674116197244,0.05339730158448219
18,0.6,0.8886863069296936,0.058733612298965454,0.8899924509560831,0.057535067200660706
19,0.6333,0.8840223431029314,0.05648383870720863,0.8851665303273303,0.05554479360580444
20,0.6667,0.8910819669858099,0.053965937346220016,0.8918585878741782,0.053613875061273575
21,0.7,0.8900691360955805,0.056231509894132614,0.8902336197732952,0.056293878704309464
22,0.7333,0.8912715770050128,0.056513890624046326,0.8910433020508773,0.05677591636776924
23,0.7667,0.8944817032397022,0.05555225536227226,0.89397386314472,0.05622968450188637
24,0.8,0.9009149408573501,0.05359119176864624,0.9005950312025911,0.0534987635910511
25,0.8333,0.8979995612184384,0.054735008627176285,0.897622230396098,0.05505670979619026
26,0.8667,0.8933843488758884,0.05436132475733757,0.8930806311603314,0.05515796318650246
27,0.9,0.8934302798285421,0.05413804575800896,0.8931569268676357,0.05550536513328552
28,0.9333,0.8974966065900499,0.053741734474897385,0.8974202294653254,0.05453316867351532
29,0.9667,0.8935368786800281,0.05349758639931679,0.8937596827512747,0.052812207490205765
30,1.0,0.89711035538315,0.05147111415863037,0.8971132519911706,0.05147368833422661
