t,alpha,ssim_interp,l2_interp,ssim_direct,l2_direct
1,0.0333,0.8451545379482058,0.05674411356449127,0.844437440158161,0.05680222809314728
2,0.0667,0.844497142580984,0.055072665214538574,0.8432067421765791,0.05531693994998932
3,0.1,0.8425708731015016,0.05827188864350319,0.8445481749879443,0.057658612728118896
4,0.1333,0.8541961346808731,0.04737295210361481,0.8536759991613693,0.04738685116171837
5,0.1667,0.8483418860619002,0.05599692836403847,0.8510866405591502,0.05417827144265175
6,0.2,0.8474212589853448,0.055122554302215576,0.8479171088605343,0.053947772830724716
7,0.2333,0.8427128439731035,0.05597053840756416,0.8435694921663801,0.05475277826189995
8,0.2667,0.8493599555915973,0.052694544196128845,0.8481291851638529,0.05265922471880913
9,0.3,0.8537720474252852,0.04844500496983528,0.8523688126996495,0.04845866933465004
10,0.3333,0.8612631234625097,0.044795114547014236,0.8603600121375482,0.045315880328416824
11,0.3667,0.84914848133011,0.05354924872517586,0.8508687749416076,0.051770180463790894
12,0.4,0.847827804046627,0.05248986557126045,0.849934083294829,0.05154860392212868
13,0.4333,0.8412093312899714,0.06075714901089668,0.8435607269245086,0.05805588141083717
14,0.4667,0.8422075399552419,0.06031200289726257,0.8458125580950172,0.05785144865512848
15,0.5,0.8502617868964014,0.049958571791648865,0.8530533412236773,0.05003643408417702
16,0.5333,0.8536141024588386,0.050415441393852234,0.8568692533328642,0.04967706277966499
17,0.5667,0.8521154507500701,0.05241382122039795,0.8546687773618556,0.05244234576821327
18,0.6,0.8579340250868915,0.045908451080322266,0.8607923993582479,0.04535243287682533
19,0.6333,0.8487571254121686,0.052243005484342575,0.8510481345681917,0.051583874970674515
20,0.6667,0.8520672990310812,0.047022927552461624,0.8509508316908913,0.04805789887905121
21,0.7,0.853336819196047,0.04751366749405861,0.851980212315188,0.04897019639611244
22,0.7333,0.858073095469485,0.047572970390319824,0.8560678048397635,0.04927058517932892
23,0.7667,0.8598336968554929,0.04606081545352936,0.8577914715263354,0.04752806946635246
24,0.8,0.8580428277305664,0.04978916421532631,0.8569644454557439,0.05183349549770355
25,0.8333,0.8654676882469126,0.043703045696020126,0.8644761462444638,0.04545382037758827
26,0.8667,0.85698001634749,0.047666389495134354,0.8546814824889329,0.049422454088926315
27,0.9,0.8528487792545767,0.05039004981517792,0.8507361871390494,0.05225051939487457
28,0.9333,0.8591323982625257,0.04821411147713661,0.8591197168003407,0.04858892038464546
29,0.9667,0.8610650785914761,0.0438818633556366,0.8614270402794597,0.043872032314538956
30,1.0,0.8586408785721039,0.04519033059477806,0.8586341601963232,0.045185480266809464
